"lastTradeDate","Type","ask","bid","change","contractSize","contractSymbol","currency","expiration","impliedVolatility","inTheMoney","lastPrice","openInterest","percentChange","strike","volume","tic","Date","Expiration","tau","mid","Spot"
2023-03-13,"calls",4.4,4.2,0,"REGULAR","IEF230324C00095000","USD",2023-03-24,0.42383388671875,TRUE,3.85,0,0,95,33,"IEF","2023-03-13",2023-03-24,0.0436507936507936,4.3,98.510002
2023-03-20,"calls",3.9,3.7,0,"REGULAR","IEF230324C00095500","USD",2023-03-24,0.38477177734375,TRUE,3.9,2,0,95.5,1,"IEF","2023-03-20",2023-03-24,0.0158730158730159,3.8,98.860001
2023-03-08,"calls",3.4,3.2,0,"REGULAR","IEF230324C00096000","USD",2023-03-24,0.34570966796875,TRUE,0.57,3,0,96,6,"IEF","2023-03-08",2023-03-24,0.0634920634920635,3.3,94.980003
2023-03-03,"calls",2.91,2.72,0,"REGULAR","IEF230324C00096500","USD",2023-03-24,0.313483427734375,TRUE,0.45,1,0,96.5,1,"IEF","2023-03-03",2023-03-24,0.0833333333333333,2.815,95.169998
2023-03-20,"calls",2.42,2.24,0,"REGULAR","IEF230324C00097000","USD",2023-03-24,0.278327529296875,TRUE,2.32,54,0,97,2,"IEF","2023-03-20",2023-03-24,0.0158730158730159,2.33,98.860001
2023-03-10,"calls",1.93,1.75,0,"REGULAR","IEF230324C00097500","USD",2023-03-24,0.24024197265625,TRUE,0.65,1,0,97.5,NA,"IEF","2023-03-10",2023-03-24,0.0555555555555556,1.84,97.330002
2023-03-22,"calls",1.47,1.32,0.16000003,"REGULAR","IEF230324C00098000","USD",2023-03-24,0.213875048828125,TRUE,0.75,109,27.11865,98,16,"IEF","2023-03-22",2023-03-24,0.00793650793650794,1.395,99.290001
2023-03-22,"calls",1.04,0.92,0.53,"REGULAR","IEF230324C00098500","USD",2023-03-24,0.1914143359375,TRUE,0.95,3045,126.190475,98.5,44,"IEF","2023-03-22",2023-03-24,0.00793650793650794,0.98,99.290001
2023-03-22,"calls",0.71,0.59,0.24999999,"REGULAR","IEF230324C00099000","USD",2023-03-24,0.188972954101563,TRUE,0.48,0,108.69564,99,10,"IEF","2023-03-22",2023-03-24,0.00793650793650794,0.65,99.290001
2023-03-22,"calls",0.44,0.34,0.28,"REGULAR","IEF230324C00099500","USD",2023-03-24,0.1836019140625,FALSE,0.41,213,215.38463,99.5,13,"IEF","2023-03-22",2023-03-24,0.00793650793650794,0.39,99.290001
